city,hour,avg_temp,avg_humidity,humidity_category
Gdansk,2026-03-02 15:00:00 UTC,10.84,56.38,Moderate Humidity
Gdansk,2026-03-02 16:00:00 UTC,8.84,68.5,Moderate Humidity
Lublin,2026-03-02 15:00:00 UTC,10.17,66.8,Moderate Humidity
Lublin,2026-03-02 16:00:00 UTC,9.11,76.87,Moderate Humidity
Lublin,2026-03-02 14:00:00 UTC,10.7,75.31,Moderate Humidity
Szczecin,2026-03-02 13:00:00 UTC,11.6,67.77,Moderate Humidity
Bydgoszcz,2026-03-02 15:00:00 UTC,12.15,72.65,Moderate Humidity
Bydgoszcz,2026-03-02 16:00:00 UTC,11.97,74,Moderate Humidity
Bydgoszcz,2026-03-02 13:00:00 UTC,11.95,73,Moderate Humidity
Bydgoszcz,2026-03-02 14:00:00 UTC,12.3,69.29,Moderate Humidity
Gdansk,2026-03-02 13:00:00 UTC,10.84,50,Moderate Humidity
Gdansk,2026-03-02 14:00:00 UTC,10.84,51.1,Moderate Humidity
Lodz,2026-03-02 15:00:00 UTC,11.92,50.96,Moderate Humidity
Lodz,2026-03-02 16:00:00 UTC,10.78,52.67,Moderate Humidity
Lodz,2026-03-02 14:00:00 UTC,11.51,52.52,Moderate Humidity
Lodz,2026-03-02 13:00:00 UTC,11.58,56.71,Moderate Humidity
Poznan,2026-03-02 15:00:00 UTC,13.09,50.2,Moderate Humidity
Poznan,2026-03-02 16:00:00 UTC,13.18,48.31,Low Humidity
Poznan,2026-03-02 13:00:00 UTC,12.82,52,Moderate Humidity
Poznan,2026-03-02 14:00:00 UTC,13.06,50.62,Moderate Humidity
Warsaw,2026-03-02 15:00:00 UTC,11.67,47.06,Low Humidity
Warsaw,2026-03-02 16:00:00 UTC,10.75,50.08,Moderate Humidity
Warsaw,2026-03-02 13:00:00 UTC,11.71,51.31,Moderate Humidity
Warsaw,2026-03-02 14:00:00 UTC,11.39,48.64,Low Humidity
Wroclaw,2026-03-02 15:00:00 UTC,13.31,48.16,Low Humidity
Wroclaw,2026-03-02 16:00:00 UTC,12.83,47.67,Low Humidity
Wroclaw,2026-03-02 13:00:00 UTC,13.09,46.87,Low Humidity
Wroclaw,2026-03-02 14:00:00 UTC,13.13,49,Low Humidity
