city,temperature,humidity,weather_main,weather_description,wind_speed,api_timestamp,ingestion_timestamp,processing_timestamp
Warsaw,7.63,64,Clear,clear sky,2.57,2026-03-02 20:29:52.000000 UTC,2026-03-02 20:36:54.311158 UTC,2026-03-02 19:36:54.314063 UTC
Krakow,5.55,35,Clear,clear sky,1.03,2026-03-02 20:27:39.000000 UTC,2026-03-02 20:36:55.252205 UTC,2026-03-02 19:36:55.255215 UTC
Lodz,7.17,69,Clouds,scattered clouds,2.25,2026-03-02 20:30:49.000000 UTC,2026-03-02 20:36:56.222107 UTC,2026-03-02 19:36:56.225028 UTC
Wroclaw,8.15,67,Clear,clear sky,2.68,2026-03-02 20:25:18.000000 UTC,2026-03-02 20:36:57.174360 UTC,2026-03-02 19:36:57.177059 UTC
Poznan,5.15,87,Clear,clear sky,1.03,2026-03-02 20:23:53.000000 UTC,2026-03-02 20:36:58.109497 UTC,2026-03-02 19:36:58.112399 UTC
Gdansk,6.51,78,Clouds,broken clouds,1.54,2026-03-02 20:24:31.000000 UTC,2026-03-02 20:36:59.050972 UTC,2026-03-02 19:36:59.053855 UTC
Szczecin,6.91,86,Clouds,overcast clouds,2.24,2026-03-02 20:26:59.000000 UTC,2026-03-02 20:36:59.989561 UTC,2026-03-02 19:36:59.992059 UTC
Bydgoszcz,7.09,73,Clear,clear sky,1.03,2026-03-02 20:25:38.000000 UTC,2026-03-02 20:37:00.930154 UTC,2026-03-02 19:37:00.932824 UTC
Lublin,5.14,88,Clouds,few clouds,4.92,2026-03-02 20:23:06.000000 UTC,2026-03-02 20:37:01.875820 UTC,2026-03-02 19:37:01.878643 UTC
Bialystok,6.46,75,Clouds,overcast clouds,1.34,2026-03-02 20:23:07.000000 UTC,2026-03-02 20:37:02.821936 UTC,2026-03-02 19:37:02.824759 UTC
Warsaw,7.63,64,Clear,clear sky,2.57,2026-03-02 20:29:52.000000 UTC,2026-03-02 20:38:03.754260 UTC,2026-03-02 19:38:03.757208 UTC
Krakow,5.56,35,Clear,clear sky,1.54,2026-03-02 20:36:13.000000 UTC,2026-03-02 20:38:04.700249 UTC,2026-03-02 19:38:04.703097 UTC
Lodz,7.17,69,Clouds,scattered clouds,2.25,2026-03-02 20:30:49.000000 UTC,2026-03-02 20:38:05.643867 UTC,2026-03-02 19:38:05.646587 UTC
Wroclaw,7.47,71,Clouds,overcast clouds,3.13,2026-03-02 20:36:03.000000 UTC,2026-03-02 20:38:06.594210 UTC,2026-03-02 19:38:06.597009 UTC
Poznan,6.79,75,Clear,clear sky,1.03,2026-03-02 20:34:47.000000 UTC,2026-03-02 20:38:07.528839 UTC,2026-03-02 19:38:07.531322 UTC
Gdansk,6.51,78,Clouds,broken clouds,1.54,2026-03-02 20:34:13.000000 UTC,2026-03-02 20:38:08.468146 UTC,2026-03-02 19:38:08.470920 UTC
Szczecin,7.06,86,Clouds,overcast clouds,2.24,2026-03-02 20:38:09.000000 UTC,2026-03-02 20:38:09.421073 UTC,2026-03-02 19:38:09.424096 UTC
Bydgoszcz,6.17,77,Clear,clear sky,1.03,2026-03-02 20:38:10.000000 UTC,2026-03-02 20:38:10.376470 UTC,2026-03-02 19:38:10.379292 UTC
Lublin,5.14,88,Clouds,few clouds,5.81,2026-03-02 20:38:11.000000 UTC,2026-03-02 20:38:11.347173 UTC,2026-03-02 19:38:11.349416 UTC
